"Variable","Min.","1st Qu.","Median","Mean","3rd Qu.","Max","Standard Deviation","Variance","Coefficient of Variance","Amplitude"
"CPU_USER",0,0,1,14.5898858778776,6,172,29.754952639247,885.357206563834,2.0394232613131,172
"CPU_SYSMODE",0,0,0,12.7437350484333,1,308,31.7407464663531,1007.47498624131,2.49069416036355,308
"CPU_IDLE",0,173,199,212.389564296639,200,463034,3219.81591673645,10367214.5376694,15.1599534911208,463034
"CPU_IOWAIT",0,0,0,10.7474802933448,0,221,42.2469190100006,1784.80216583755,3.93086731558477,221
"CPU_IRQ",0,0,0,1.96086121024354e-05,0,1,0.00442816125524301,1.96086121024354e-05,225.827367694883,1
"CPU_SOFTIRQ",0,0,0,0.0476293187968156,0,3,0.218077655634283,0.047557863886945,4.57864317910135,3
"CPU_STEAL",0,0,0,38.9246048864661,0,462978,3220.18478864887,10369590.0730456,82.7287726629824,462978
"MEMORY_SIZE",567801,569945,569945,569939.198007765,569945,572437,81.0000958077564,6561.01552086571,0.000142120591268146,4636
"MEMORY_RESIDENT",7803,11855,12320,12695.4940585905,12783,19208,1294.78488015182,1676467.88586975,0.10198775047086,11405
"MEMORY_SHARE",2306,2377,2377,2376.65037844621,2377,2377,3.0445774878389,9.26945207945543,0.00128103717545084,71
"MEMORY_DATA",557197,559341,559341,559335.198007765,559341,561833,81.0000958077564,6561.01552086571,0.000144814944770617,4636
"MEMORY_VIRTUALSIZE",2325712896,2334494720,2334494720,2334470955.03981,2334494720,2344701952,331776.39242857,110075574572.917,0.000142120591268146,18989056
"MEMORY_RSS",7803,11855,12320,12695.5019020354,12783,19208,1294.7736233171,1676438.73563769,0.101986800782529,11405
"MEMORY_USED",883080,896004,899528,899096.523942115,901388,921204,4476.15060822917,20035924.2675504,0.00497849840260015,38124
"MEMORY_FREE",6818248,6838064,6839924,6840355.47605788,6843448,6856372,4476.15060822917,20035924.2675504,0.000654373975723377,38124
"MEMORY_BUFFERS",189408,189412,189524,189472.944821366,189524,189524,55.201591404739,3047.21569361575,0.000291342869330409,116
"MEMORY_CACHED",384400,384760,385588,385227.322718538,385644,385660,495.585285136257,245604.774843585,0.00128647490951297,1260
"DISK_MILLISECONDS_READING",0,0,0,5.4476646142986,0,103,18.1392710774712,329.033155221985,3.32973344758793,103
"DISK_WRITES_COMPLETED",0,0,0,2.31287501470646,0,136,11.6508023706297,135.74119587947,5.03736790641424,136
"DISK_SECTORS_WRITTEN",0,0,0,64.3446409663124,0,1680,221.191859586171,48925.8387471886,3.43761121772326,1680
"DISK_MILLISECONDS_WRITING",0,0,0,75.7681477705008,0,2680,274.480608315095,75339.6043410248,3.62263848849107,2680
"DISK_MILLISECONDS_SPENT_IN_IO",0,0,0,69.6326914780972,0,1416,248.298535845954,61652.1629032447,3.5658328089193,1416
"DISK_WEIGHTED_MILLISECONDS_DOING_IO",0,0,0,75.7660300403937,0,2616,274.417120690769,75304.7561282123,3.62190180143353,2616
"DISK_IO_IN_PROGRESS",0,0,0,0.0772971489078003,0,10,0.316091150289284,0.0999136152912024,4.0892989554675,10
"NETWORK_R_BYTES",968,1954,1954,1975.67618337974,1954,7534,150.037149382158,22511.1461947239,0.0759421764782793,6566
"NETWORK_R_PACKETS",10,22,22,22.3762892662457,22,82,2.33921146723911,5.47191028846293,0.104539740231539,72
"NETWORK_R_MULTICAST",0,0,0,0.00813757402251069,0,2,0.0902770633611932,0.00814994816912089,11.0938546440822,2
"NETWORK_T_BYTES",7624,8522,8522,8566.20322365583,8658,14304,178.344225970005,31806.66293684,0.0208195184393363,6680
"NETWORK_T_PACKETS",11,24,24,24.376348092082,25,74,2.31274303401103,5.34878034136654,0.09487651822474,63
"POWER_CONSUMPTION",239.7,244.3,245.3,249.233726812816,253.7,299.5,7.74483678402736,59.9824968112233,0.0310745936477691,59.8
