"arch","methods","r2","se.mean","se.var","se.sd","ae.mean","ae.var","ae.sd","pe.mean","pe.var","pe.sd","ape.mean","ape.var","ape.sd","ase.mean","ase.var","ase.sd"
"Intel","MLR",0.968650038193598,7.28780429839056,3602.89744298979,56.1252319337736,1.68575385253003,4.44632269255734,2.10636447942774,-0.00400783888134407,0.00324112059232999,0.0569124403790371,0.0385981684805369,0.00176762693376603,0.0419944941446287,1.24256247142346,2.4199049457237,1.55320424888255
"Intel","RT",0.936363646675705,14.8065641414003,3682.51391093172,54.7590011389968,2.8970086106581,6.4142217062818,2.52808098371133,-0.00790095979850954,0.00802342664897602,0.0895431205892084,0.0681444455673631,0.00344375092249225,0.0586102228815499,2.1248882223059,3.44445941620226,1.85335780001124
"Intel","MLP",0.973777380065039,6.10527803547532,4011.58882025939,56.3053325682322,1.48953545342892,3.88602818587262,1.95939732487092,0.000331651145522659,0.00268657821486436,0.0517381185455301,0.0333822524633449,0.00161371296162956,0.0399610351142623,1.10397235430089,2.13159110356429,1.45165821702712
"AMD","MLR",0.916575390892248,4.99621859634242,489.248476470781,21.439580476511,1.34462531428601,3.1885539991488,1.78453187228872,-7.83084453087256e-05,7.58175847590182e-05,0.00870466757977501,0.00533237778176053,4.73922726271259e-05,0.00688018205105524,2.25358720067338,8.95106968605169,2.9887020197412
"AMD","RT",0.91822621150857,4.89583453978271,436.883910704968,20.3678792867971,1.30937417554174,3.18175527231134,1.78281543388661,-6.66441678906385e-05,7.35436704886775e-05,0.00857326534188435,0.00516351655783222,4.68904599090852e-05,0.00684393196232396,2.20151053931021,8.99549895784243,2.99733947410903
"AMD","MLP",0.937082230004202,3.77073933447505,348.640631510127,18.0374945023622,1.11690997892602,2.52287025810952,1.5872760480528,-0.000115456216336646,5.67748993024353e-05,0.00753337679873337,0.00442401600898063,3.74409602284082e-05,0.00611526133042729,1.87246066503596,7.07307318031051,2.65723804248318
"Both","MLR",0.998653528837415,14.0595456546694,3006.06872873114,53.7892294421679,2.62086090914279,7.19103222834231,2.6807389777429,-0.00433621617634927,0.0035808739762449,0.0598276980502624,0.0378636800458411,0.0021659273594514,0.0465168059075144,2.58881406728015,7.01308043603568,2.64738491461432
"Both","RT",0.985565149135155,150.720692667679,285333.504394428,533.865770666709,7.7339125124525,90.9046810101882,9.5315127170287,-0.0411020966034387,0.0376017023632171,0.193902217048888,0.11791423342774,0.0253907885893857,0.159340604111119,7.6286575985223,88.4291319791066,9.40109744893103
"Both","MLP",0.999394162963029,6.3263840791681,2616.14984290762,48.7558761004475,1.54712215253645,3.93046986371155,1.97962240689149,-0.00394627176451348,0.0018586314866808,0.0430266261981929,0.023506216644518,0.0013279360518487,0.0363128124481134,1.52323450316412,3.80082480145938,1.94792894073218
